ticket_id,support_account_key,created_date,ticket_category,priority,first_response_hours,resolution_hours,support_csat,channel
TKT-000653, ACC-000203 ,2026-03-13,Billing,Low,17.1,69.8,3.5,Email
TKT-000654,ACC-000204,2026-12-05,Billing,Medium,7.19,12.97,5,Email
TKT-000655,ACC-000204,2026-10-24,Onboarding,Medium,2.57,39.61,4.2,Phone
TKT-000656,ACC-000204,2026-06-18,Integration,Low,11.95,67.6,4.2,Email
TKT-000657,ACC-000205,2026-05-08,Billing,Low,5.59,33.97,4.6,Phone
TKT-000658,ACC-000205,2026-06-06,Bug,High,15.44,66.8,2.1,Email
TKT-000659,acc-000205,2026-07-08,Performance,High,16.49,41.87,3.9,Phone
TKT-000660,ACC 000205,2026-06-01,Integration,Medium,3.97,16.82,5,Chat
TKT-000661, ACC-000205 ,2026-06-02,Performance,Low,6.74,41.73,2.8,Email
TKT-000662,ACC-000205,2026-05-24,Billing,Low,11.72,32.46,5,Email
TKT-000663,acc-000206,2025-12-11,Billing,High,20.29,43.76,2.3,Email
TKT-000664,acc-000206,2025-09-06,Billing,Medium,13.22,35.2,3.4,Chat
TKT-000665,ACC 000206,2025-12-19,Billing,Medium,17.76,36.99,2.6,Email
TKT-000666, ACC-000207 ,2026-11-15,Beta feature,Urgent,32.54,72.91,3.2,Chat
TKT-000667,ACC-000208,2025-09-13,Performance,Medium,12.46,55.96,3.6,Email
TKT-000668,ACC 000209,2025-11-11,Bug,Medium,0.2,12.56,3.7,Phone
TKT-000669,acc-000209,2025-11-29,Bug,Medium,5.26,35.87,3.1,Help Center
TKT-000670,ACC-000209,2026-02-14,Performance,Medium,10.04,41.63,4.4,Email
TKT-000671,ACC-000209,2025-10-23,Bug,Medium,8.46,34.01,3.6,Email
TKT-000672,ACC 000209,2025-02-28,Performance,Medium,4.5,36.51,4.9,Email
TKT-000673,ACC 000209,2025-06-22,Bug,Low,13.51,48.15,4.0,Help Center
TKT-000674, ACC-000209 ,2025-07-30,Billing,Medium,8.41,38.67,3.7,Chat
TKT-000675,acc-000210,2026-03-25,Onboarding,High,17.34,55.92,0,Email
TKT-000676,ACC-000210,2026-08-17,Onboarding,Low,1.64,20.26,4.2,Chat
TKT-000677, ACC-000210 ,2026-06-09,Performance,Low,5.63,12.7,4.7,Email
TKT-000678,ACC-000210,2026-06-14,Bug,Medium,10.97,50.85,4.7,Email
TKT-000679,ACC 000211,2025-07-08,Billing,High,17.25,50.3,2.3,Chat
TKT-000680,ACC-000211,2025-10-13,Onboarding,Medium,7.17,44.57,3.3,Chat
TKT-000681, ACC-000211 ,2025-10-08,Onboarding,Medium,16.82,47.36,2.7,Email
TKT-000682,ACC-000212,2025-12-31,Performance,Low,13.33,57.56,2.8,Phone
TKT-000683,ACC 000213,2026-01-31,Billing,Urgent,5.25,37.65,3.0,Chat
TKT-000684,acc-000213,2026-06-14,Integration,Medium,9.72,33.06,4.5,Email
TKT-000685, ACC-000213 ,2026-02-25,Performance,Medium,8.93,9.93,3.4,Email
TKT-000686,ACC-000213,2025-12-10,Performance,Medium,3.79,29.7,3.5,Email
TKT-000687,ACC-000213,2025-11-02,Onboarding,High,15.19,61.16,1.9,Email
TKT-000688,ACC-000214,2025-11-06,Onboarding,Medium,5.54,16.7,5,Email
TKT-000689,acc-000214,2025-08-27,Beta feature,Low,2.24,23.59,5,Email
TKT-000690,ACC 000214,2025-04-10,Performance,Low,9.46,47.86,4.2,Email
TKT-000691,acc-000214,2025-11-17,Onboarding,Low,10.37,35.47,3.6,Email
TKT-000692,ACC-000214,2025-11-30,Bug,Low,0.2,3.36,4.6,Email
TKT-000693,ACC 000215,2026-02-23,Billing,Low,5.95,12.92,4.9,Email
TKT-000694,acc-000215,2026-05-20,Onboarding,Medium,5.62,17.19,5,Chat
TKT-000695,ACC 000216,2025-11-01,Integration,Medium,5.69,31.64,4.2,Email
TKT-000696,acc-000216,2026-01-09,Bug,Medium,0.2,26.92,5,Email
TKT-000697,acc-000216,2025-08-03,Bug,Low,4.62,43.32,4.4,Email
TKT-000698, ACC-000216 ,2025-09-06,Beta feature,High,19.82,58.06,3.7,Chat
TKT-000699, ACC-000217 ,2025-07-26,Billing,Medium,11.51,34.6,4.1,Phone
TKT-000700,ACC-000217,2025-10-23,Beta feature,Low,15.65,45.6,3.6,Chat
TKT-000701,ACC-000217,2025-10-09,Beta feature,High,16.64,58.76,2.7,Phone
TKT-000702,ACC-000217,2025-10-02,Bug,Medium,11.93,53.59,2.7,Chat
TKT-000703,acc-000217,2025-08-05,Beta feature,Medium,14.76,40.37,4.2,Email
TKT-000704,ACC-000218,2025-07-22,Bug,Medium,1.26,2.26,4.6,Email
TKT-000705,ACC-000218,2025-07-07,Bug,Low,4.25,26.42,4.2,Phone
TKT-000706,ACC-000218,2025-09-02,Beta feature,Medium,8.98,27.31,5.0,Phone
TKT-000707,ACC-000218,2025-05-25,Performance,High,16.02,50.22,2.2,Email
TKT-000708,ACC-000220,2026-03-05,Onboarding,Low,13.99,56.45,4.4,Chat
TKT-000709,acc-000220,2025-03-21,Performance,Medium,6.89,42.47,4.7,Email
TKT-000710, ACC-000220 ,2025-10-08,Billing,Medium,2.9,23.43,3.1,Email
TKT-000711, ACC-000221 ,2025-05-17,Performance,Low,25.68,51.85,1.4,Email
TKT-000712,ACC-000221,2026-02-24,Performance,Urgent,21.98,63.82,2.1,Email
TKT-000713,ACC-000221,2025-09-14,Billing,Medium,15.82,37.8,3.6,Email
TKT-000714,acc-000221,2025-12-15,Integration,High,20.18,33.51,1.5,Email
TKT-000715,ACC 000221,2026-03-24,Bug,Medium,13.15,49.28,2.2,Chat
TKT-000716,ACC-000222,2025-09-06,Bug,Low,2.66,4.06,3.2,Chat
TKT-000717,ACC-000222,2025-09-03,Performance,Low,16.84,39.4,4.5,Help Center
TKT-000718,ACC-000222,2025-10-26,Billing,Low,11.92,49.62,4.9,Email
TKT-000719,ACC-000222,2025-06-06,Integration,Low,6.07,21.26,3.8,Chat
TKT-000720,acc-000224,2025-10-28,Performance,High,23.76,76.04,2.4,Email
TKT-000721, ACC-000224 ,2026-03-02,Onboarding,Urgent,21.72,53.52,2.3,Help Center
TKT-000722, ACC-000225 ,2025-04-17,Beta feature,Medium,16.36,46.19,2.8,Chat
TKT-000723,ACC-000225,2025-12-27,Onboarding,Low,2.06,16.13,3.9,Help Center
TKT-000724,ACC-000226,2025-04-06,Integration,Low,9.65,38.1,3.7,Chat
TKT-000725, ACC-000226 ,2026-02-02,Onboarding,Low,12.7,43.49,4.2,Email
TKT-000726,ACC-000226,2025-10-27,Onboarding,Medium,21.68,62.42,3.4,Help Center
TKT-000727,ACC-000227,2026-03-19,Onboarding,Urgent,29.57,51.56,1.8,Chat
TKT-000728,acc-000227,2026-02-11,Beta feature,High,30.15,74.45,1,Help Center
TKT-000729,acc-000227,2026-02-08,Billing,Medium,16.83,50.69,2.8,Email
TKT-000730, ACC-000228 ,2025-11-27,Integration,Urgent,27.56,36.86,2.9,Email
TKT-000731,ACC-000228,2025-11-29,Onboarding,High,27.48,66.37,2.5,Chat
TKT-000732,ACC-000228,2026-07-19,Billing,Low,18.34,68.47,3.5,Phone
TKT-000733,ACC-000229,2026-01-05,Bug,Urgent,26.76,96.56,2.6,Chat
TKT-000734,ACC-000229,2026-01-22,Billing,High,27.54,70.17,3.1,Chat
TKT-000735,ACC-000229,2025-08-10,Performance,Medium,20.86,24.07,1.4,Chat
TKT-000736,ACC-000229,2025-11-11,Billing,High,27.4,62.61,2.2,Chat
TKT-000737,ACC-000229,2026-01-26,Onboarding,Medium,12.26,16.26,3.0,Email
TKT-000738,ACC-000229,2026-02-04,Onboarding,High,19.09,58.02,3.0,Email
TKT-000739, ACC-000230 ,2025-10-29,Bug,High,13.66,53.88,2.4,Email
TKT-000740,ACC-000230,2025-10-26,Billing,Urgent,11.39,46.33,3.3,Chat
TKT-000741,ACC 000230,2025-12-09,Bug,Urgent,13.04,15.65,2.5,Help Center
TKT-000742, ACC-000230 ,2026-07-06,Integration,Low,4.63,25.67,4.5,Chat
TKT-000743,ACC-000230,2026-07-01,Onboarding,Medium,8.39,38.02,4.0,Chat
TKT-000744,ACC 000233,2026-04-28,Billing,Low,2.95,3.95,4.0,Email
TKT-000745,acc-000233,2026-03-06,Performance,Medium,7.16,43.7,4.8,Phone
TKT-000746, ACC-000234 ,2027-01-02,Integration,Medium,9.49,26.5,3.9,Chat
TKT-000747,acc-000234,2026-07-31,Onboarding,Urgent,1.73,28.25,3.3,Email
TKT-000748,ACC-000235,2025-07-04,Beta feature,High,16.97,39.26,1.4,Help Center
TKT-000749,ACC-000235,2026-01-26,Integration,Medium,13.33,36.04,5,Email
TKT-000750, ACC-000235 ,2026-03-24,Onboarding,High,17.84,46.68,2.3,Email
TKT-000751,ACC 000235,2026-03-17,Bug,High,25.27,65.89,2.6,Phone
TKT-000752,ACC-000236,2026-08-17,Integration,Low,31.07,78.83,3.4,Phone
TKT-000753,ACC-000236,2026-02-24,Bug,Urgent,18.75,44.71,2.0,Chat
TKT-000754,ACC-000237,2025-09-12,Performance,Medium,3.02,9.21,4.2,Email
TKT-000755,ACC-000237,2025-04-08,Integration,Medium,10.36,17.56,3.5,Email
TKT-000756, ACC-000237 ,2025-06-10,Performance,Low,6.39,27.57,3.2,Phone
TKT-000757,ACC-000237,2025-08-16,Bug,Medium,13.38,43.88,2.8,Email
TKT-000758, ACC-000238 ,2026-03-02,Onboarding,Low,8.6,28.18,3.7,Email
TKT-000759,acc-000238,2026-02-06,Bug,Urgent,19.65,46.54,5,Email
TKT-000760,ACC-000239,2026-08-22,Onboarding,Medium,4.8,33.64,2.8,Email
TKT-000761, ACC-000239 ,2025-09-27,Beta feature,Medium,13.19,45.5,4.0,Email
TKT-000762,ACC-000239,2026-09-11,Billing,Medium,15.08,66.84,3.8,Email
TKT-000763,ACC-000240,2026-10-12,Performance,Medium,9.15,59.06,2.9,Chat
TKT-000764,ACC-000240,2026-08-09,Bug,High,13.91,34.57,3.0,Email
TKT-000765,ACC 000240,2026-02-04,Onboarding,Medium,2.25,24.84,4.0,Chat
TKT-000766,ACC 000240,2026-03-17,Onboarding,Low,14.09,53.6,4.3,Email
TKT-000767,ACC-000241,2026-01-20,Onboarding,High,9.84,62.04,1.9,Email
TKT-000768,ACC-000241,2026-10-08,Performance,Low,11.83,20.23,5,Phone
TKT-000769,acc-000241,2026-01-16,Onboarding,High,16.52,61.14,3.6,Email
TKT-000770,ACC-000241,2025-12-13,Performance,Low,4.62,9.87,3.4,Email
TKT-000771, ACC-000242 ,2026-05-08,Performance,High,19.34,43.07,2.9,Email
TKT-000772,ACC-000242,2025-08-30,Billing,Medium,9.07,46.08,3.3,Phone
TKT-000773,ACC 000242,2026-02-10,Integration,Low,10.52,24.23,5,Chat
TKT-000774, ACC-000242 ,2026-02-02,Beta feature,Low,6.5,33.84,2.7,Email
TKT-000775,ACC-000244,2025-10-07,Billing,Urgent,29.52,86.32,5,Chat
TKT-000776, ACC-000244 ,2025-10-01,Bug,Medium,15.06,52.17,4.0,Phone
TKT-000777,acc-000244,2025-08-19,Onboarding,Medium,1.94,28.38,4.7,Chat
TKT-000778,acc-000244,2025-06-21,Onboarding,High,16.82,50.48,3.8,Phone
TKT-000779,ACC-000244,2025-11-02,Performance,Medium,4.81,18.13,4.7,Phone
TKT-000780,acc-000244,2026-01-12,Performance,Low,7.79,38.8,3.2,Email
TKT-000781,ACC-000244,2025-11-22,Onboarding,Medium,9.24,25.95,3.6,Email
TKT-000782,ACC 000245,2025-11-09,Onboarding,Medium,0.2,1.2,3.3,Email
TKT-000783,ACC 000245,2025-12-21,Billing,Urgent,9.35,52.42,2.4,Help Center
TKT-000784,ACC-000245,2026-06-18,Billing,Low,14.2,58.53,5,Chat
TKT-000785,ACC-000245,2026-06-22,Performance,Medium,10.79,21.68,3.9,Email
TKT-000786,ACC-000246,2026-07-03,Integration,Medium,5.22,37.01,4.7,Email
TKT-000787,ACC-000247,2026-04-11,Onboarding,Low,5.11,24.74,4.3,Chat
TKT-000788,ACC-000247,2025-07-16,Performance,Medium,13.49,50.0,3.5,Chat
TKT-000789,ACC-000247,2025-08-04,Integration,Medium,5.79,21.31,4.8,Help Center
TKT-000790,acc-000247,2025-10-04,Beta feature,Medium,7.78,9.58,4.6,Phone
TKT-000791,acc-000247,2025-08-06,Bug,High,14.18,38.42,3.2,Help Center
TKT-000792,acc-000249,2025-12-27,Integration,Medium,0.2,5.13,4.4,Email
TKT-000793,acc-000249,2026-08-24,Performance,Low,12.88,48.22,3.0,Email
TKT-000794,ACC 000250,2025-12-05,Billing,High,22.78,41.64,2.2,Chat
TKT-000795,acc-000250,2026-07-29,Onboarding,Medium,17.95,71.53,3.5,Phone
TKT-000796,ACC-000250,2026-05-03,Beta feature,Medium,5.63,41.15,3.8,Chat
TKT-000797, ACC-000250 ,2026-07-05,Onboarding,Medium,9.81,44.29,3.4,Email
TKT-000798, ACC-000253 ,2025-11-05,Beta feature,Low,9.83,32.95,4.0,Chat
TKT-000799,acc-000255,2025-12-04,Bug,Urgent,28.57,75.78,1.2,Email
TKT-000800,ACC 000255,2025-11-01,Bug,Low,11.02,38.42,3.3,Help Center
TKT-000801, ACC-000255 ,2025-06-04,Onboarding,Urgent,24.04,66.6,2.5,Chat
TKT-000802, ACC-000256 ,2026-04-09,Beta feature,Urgent,21.23,68.01,3.0,Phone
TKT-000803,ACC-000256,2026-06-30,Bug,Medium,12.52,37.17,3.3,Email
TKT-000804,ACC-000256,2026-05-05,Billing,Medium,11.06,49.4,4.4,Email
TKT-000805,ACC-000258,2025-09-04,Bug,High,19.48,42.55,3.8,Chat
TKT-000806,ACC-000258,2025-10-01,Billing,High,16.57,69.08,1,Chat
TKT-000807, ACC-000258 ,2025-08-24,Onboarding,High,24.88,66.73,2.7,Chat
TKT-000808,ACC-000259,2026-03-27,Bug,Medium,1.26,2.26,2.6,Phone
TKT-000809,ACC-000259,2025-10-24,Onboarding,Medium,7.26,30.19,4.2,Chat
TKT-000810,ACC-000259,2025-12-01,Onboarding,Low,11.08,33.13,5.0,Help Center
TKT-000811, ACC-000259 ,2026-01-03,Billing,Medium,5.76,23.36,5,Chat
TKT-000812,ACC 000259,2025-09-17,Beta feature,Medium,9.35,28.78,4.8,Chat
TKT-000813, ACC-000260 ,2025-06-03,Beta feature,High,27.45,83.11,4.2,Email
TKT-000814,ACC 000260,2025-08-25,Beta feature,Low,10.27,40.39,1.3,Email
TKT-000815,acc-000260,2026-03-26,Beta feature,High,19.26,59.33,3.8,Email
TKT-000816,ACC 000260,2025-07-26,Integration,Medium,18.11,45.1,4.4,Chat
TKT-000817,acc-000260,2025-11-05,Performance,High,17.94,55.36,3.3,Email
TKT-000818,ACC-000261,2025-08-05,Performance,Medium,7.66,42.68,5,Phone
TKT-000819, ACC-000261 ,2026-01-14,Bug,Medium,4.82,13.01,3.4,Help Center
TKT-000820, ACC-000261 ,2026-02-17,Beta feature,High,17.24,47.75,3.2,Phone
TKT-000821,ACC-000261,2026-06-25,Onboarding,Medium,2.7,37.59,4.0,Email
TKT-000822,ACC 000262,2026-07-23,Bug,Medium,4.18,21.58,4.5,Email
TKT-000823, ACC-000262 ,2026-07-08,Onboarding,Medium,0.92,24.08,4.0,Chat
TKT-000824,ACC 000263,2025-11-03,Billing,Urgent,15.96,63.21,3.3,Help Center
TKT-000825,ACC 000263,2026-01-13,Integration,Low,3.58,8.92,4.3,Chat
TKT-000826,ACC 000263,2025-05-11,Billing,Medium,4.36,29.91,5,Email
TKT-000827,ACC-000263,2026-03-02,Integration,Low,11.51,31.21,4.0,Chat
TKT-000828, ACC-000264 ,2026-07-17,Performance,Medium,13.09,35.03,4.0,Chat
TKT-000829, ACC-000264 ,2026-07-12,Onboarding,Low,12.29,56.73,3.7,Email
TKT-000830,acc-000264,2025-11-07,Beta feature,Medium,11.46,61.39,4.6,Help Center
TKT-000831,acc-000265,2025-08-04,Bug,Medium,15.83,51.06,3.8,Chat
TKT-000832,ACC-000265,2026-03-16,Billing,Medium,14.24,24.11,2.5,Chat
TKT-000833,ACC-000265,2025-08-25,Onboarding,Medium,11.21,61.36,3.8,Email
TKT-000834,ACC-000266,2025-12-13,Bug,High,16.35,45.69,3.8,Email
TKT-000835,acc-000266,2026-01-04,Bug,Low,5.96,18.32,4.1,Phone
TKT-000836,ACC-000266,2026-09-21,Integration,Medium,2.09,23.93,3.9,Help Center
TKT-000837, ACC-000266 ,2026-07-10,Performance,Low,8.3,34.58,4.2,Email
TKT-000838,acc-000268,2025-09-21,Integration,Medium,1.52,20.79,5,Chat
TKT-000839,ACC-000268,2025-09-21,Performance,Medium,0.2,16.9,3.9,Email
TKT-000840,acc-000268,2025-07-25,Bug,Medium,16.17,50.5,5,Email
TKT-000841,ACC-000268,2025-07-14,Bug,Medium,5.6,8.57,4.2,Email
TKT-000842,ACC-000269,2025-09-23,Billing,Medium,12.72,32.62,6,Chat
TKT-000843,acc-000269,2025-09-19,Integration,Medium,4.2,15.81,3.0,Email
TKT-000844,ACC-000269,2026-05-12,Bug,Low,10.2,43.47,3.2,Phone
TKT-000845,ACC-000269,2026-04-29,Billing,Urgent,12.17,33.91,2.6,Chat
TKT-000846,acc-000270,2026-08-22,Billing,Medium,4.56,20.35,4.5,Email
TKT-000847,ACC-000270,2025-11-22,Performance,Low,8.93,21.07,3.3,Email
TKT-000848,ACC-000271,2026-04-04,Integration,Urgent,19.69,54.65,3.1,Email
TKT-000849,ACC-000271,2026-08-31,Onboarding,Medium,8.82,24.49,4.8,Phone
TKT-000850,ACC 000271,2025-12-28,Onboarding,Low,5.06,35.9,4.5,Phone
TKT-000851,acc-000271,2026-09-05,Billing,Low,6.25,35.71,4.5,Chat
TKT-000852,ACC-000272,2026-02-13,Onboarding,Low,10.61,35.26,5,Chat
TKT-000853,ACC-000272,2026-01-11,Beta feature,Medium,6.56,30.32,5.0,Chat
TKT-000854, ACC-000272 ,2026-05-07,Integration,Low,2.45,48.11,3.6,Email
TKT-000855,acc-000272,2025-09-14,Beta feature,Medium,4.42,45.18,2.8,Email
TKT-000856,ACC-000273,2026-04-29,Billing,Urgent,23.28,76.69,2.0,Email
TKT-000857, ACC-000273 ,2026-03-16,Performance,High,26.85,79.14,4.3,Chat
TKT-000858,ACC 000273,2025-12-04,Onboarding,High,24.14,70.59,2.4,Email
TKT-000859,acc-000274,2026-03-29,Beta feature,Medium,0.2,1.2,2.4,Chat
TKT-000860,ACC-000274,2026-12-04,Onboarding,Low,10.69,36.94,3.2,Chat
TKT-000861, ACC-000274 ,2026-05-29,Onboarding,Urgent,16.05,42.99,3.9,Chat
TKT-000862,ACC 000275,2025-12-20,Onboarding,Low,17.13,40.51,3.9,Chat
TKT-000863,ACC-000275,2025-05-03,Performance,Medium,19.6,75.78,3.2,Email
TKT-000864,ACC-000277,2025-08-13,Integration,Urgent,9.12,36.28,3.2,Phone
TKT-000865,ACC-000277,2025-10-01,Bug,Medium,2.8,17.91,3.2,Chat
TKT-000866,ACC-000277,2025-09-29,Billing,Low,6.29,31.78,3.9,Email
TKT-000867,ACC-000277,2025-10-14,Billing,High,16.07,60.23,3.3,Email
TKT-000868, ACC-000277 ,2026-02-28,Bug,Medium,1.4,26.51,3.8,Email
TKT-000869,ACC 000278,2026-01-30,Onboarding,Medium,23.65,76.48,1.5,Email
TKT-000870,ACC-000278,2026-08-21,Integration,Medium,17.06,49.23,4.2,Chat
TKT-000871,ACC 000278,2025-11-08,Onboarding,Urgent,26.93,73.13,1.2,Phone
TKT-000872,acc-000278,2026-04-08,Beta feature,Medium,17.49,58.1,2.4,Chat
TKT-000873,ACC-000279,2025-11-19,Performance,Medium,18.3,51.67,4.4,Chat
TKT-000874,ACC 000279,2026-03-18,Bug,Medium,13.2,44.69,2.6,Email
TKT-000875,ACC-000280,2026-01-21,Onboarding,Urgent,17.29,50.9,4.5,Email
TKT-000876, ACC-000280 ,2026-08-20,Onboarding,Medium,3.15,21.73,4.1,Help Center
TKT-000877,ACC-000280,2026-06-01,Integration,Low,2.99,30.66,3.9,Help Center
TKT-000878, ACC-000280 ,2026-09-21,Onboarding,High,17.55,50.75,2.6,Chat
TKT-000879, ACC-000280 ,2026-06-08,Performance,Urgent,11.19,46.15,2.8,Email
TKT-000880,ACC-000281,2026-01-12,Onboarding,Medium,17.05,66.71,3.3,Help Center
TKT-000881,ACC-000281,2025-11-23,Onboarding,High,23.47,73.03,3.1,Email
TKT-000882,ACC-000281,2025-09-16,Beta feature,High,15.27,51.37,3.1,Email
TKT-000883,ACC-000281,2025-06-16,Onboarding,High,21.35,57.47,2.6,Email
TKT-000884, ACC-000282 ,2026-01-15,Bug,Medium,1.26,10.8,4.8,Email
TKT-000885,ACC 000283,2026-07-28,Performance,Low,11.33,45.6,4.6,Help Center
TKT-000886,acc-000283,2026-04-05,Onboarding,Low,1.89,8.66,5,Email
TKT-000887,ACC-000283,2025-09-24,Billing,Medium,0.3,43.87,5,Email
TKT-000888, ACC-000283 ,2026-04-22,Performance,High,15.93,50.9,3.9,Chat
TKT-000889,ACC-000283,2026-07-09,Integration,Medium,1.64,25.39,4.3,Phone
TKT-000890,ACC-000283,2026-06-02,Onboarding,Medium,7.82,21.18,3.8,Help Center
TKT-000891,ACC-000283,2026-07-23,Billing,Urgent,16.55,50.36,3.5,Chat
TKT-000892,ACC-000284,2026-02-06,Onboarding,Urgent,16.41,46.7,2.4,Chat
TKT-000893,ACC-000284,2025-12-12,Beta feature,Urgent,23.51,75.67,2.9,Chat
TKT-000894,acc-000285,2025-10-02,Beta feature,Low,12.61,31.67,3.7,Chat
TKT-000895,acc-000285,2026-03-01,Beta feature,Low,19.38,56.84,3.8,Chat
TKT-000896,ACC 000285,2025-07-31,Beta feature,Low,14.68,31.53,3.0,Help Center
TKT-000897, ACC-000286 ,2025-06-02,Performance,Medium,6.56,46.44,3.0,Chat
TKT-000898,ACC-000286,2025-06-07,Beta feature,High,16.1,58.06,2.8,Email
TKT-000899,acc-000286,2025-11-07,Bug,Medium,3.01,22.89,3.3,Chat
TKT-000900,ACC-000286,2025-08-16,Bug,Medium,12.16,39.92,3.3,Chat
TKT-000901, ACC-000287 ,2025-12-13,Onboarding,Medium,9.09,15.42,3.7,Chat
TKT-000902,ACC-000287,2026-02-13,Integration,Medium,5.0,18.63,4.5,Chat
TKT-000903,ACC-000287,2026-01-21,Integration,Low,6.61,24.0,3.0,Email
TKT-000904,ACC 000287,2026-06-25,Billing,Low,3.58,21.91,3.7,Email
TKT-000905, ACC-000287 ,2026-08-14,Billing,Medium,12.63,60.87,4.2,Phone
TKT-000906,ACC-000287,2026-06-25,Performance,Medium,7.57,8.57,3.7,Chat
TKT-000907,ACC-000287,2026-08-30,Performance,High,11.47,49.38,3.2,Email
TKT-000908,acc-000288,2025-12-27,Performance,High,14.72,54.72,4.5,Chat
TKT-000909,acc-000288,2025-09-22,Integration,High,15.3,60.79,3.7,Help Center
TKT-000910,ACC-000289,2025-12-14,Beta feature,High,22.57,61.83,1.7,Chat
TKT-000911,ACC-000289,2026-06-01,Integration,High,23.81,58.98,2.7,Email
TKT-000912, ACC-000289 ,2025-11-30,Billing,High,19.81,55.35,3.1,Email
TKT-000913,ACC-000289,2025-09-10,Bug,Medium,8.83,36.44,1.3,Chat
TKT-000914,ACC-000290,2026-01-02,Performance,High,11.02,46.02,3.9,Email
TKT-000915,acc-000290,2025-05-18,Integration,High,26.16,59.27,3.1,Chat
TKT-000916, ACC-000290 ,2025-10-09,Onboarding,Medium,5.48,45.47,3.7,Email
TKT-000917, ACC-000290 ,2025-04-26,Bug,Low,7.6,27.78,5,Help Center
TKT-000918,ACC-000291,2026-01-08,Performance,Urgent,26.72,50.4,3.1,Help Center
TKT-000919,ACC-000291,2025-10-29,Onboarding,Medium,8.39,35.45,2.8,Help Center
TKT-000920,ACC 000291,2026-04-04,Billing,High,23.34,59.37,1.9,Help Center
TKT-000921,ACC 000291,2026-08-29,Performance,Medium,17.64,57.39,1.3,Chat
TKT-000922,acc-000292,2026-03-07,Bug,Medium,15.93,57.85,3.6,Help Center
TKT-000923,ACC-000292,2026-08-24,Performance,High,17.25,66.91,1.6,Chat
TKT-000924,ACC-000292,2025-11-01,Beta feature,Low,22.52,71.86,1.7,Chat
TKT-000925,acc-000292,2026-07-16,Onboarding,Medium,11.7,53.2,3.4,Phone
TKT-000926, ACC-000292 ,2026-08-14,Billing,High,21.27,60.55,1.2,Email
TKT-000927,ACC-000293,2026-04-19,Performance,Medium,14.27,50.12,2.9,Chat
TKT-000928,ACC-000294,2026-01-31,Integration,Medium,10.43,38.16,4.7,Chat
TKT-000929, ACC-000294 ,2025-09-16,Integration,Medium,11.44,52.05,5,Chat
TKT-000930,ACC-000294,2025-12-03,Billing,High,20.32,67.81,4.0,Help Center
TKT-000931,ACC-000295,2026-01-03,Bug,Medium,14.86,36.39,4.2,Email
TKT-000932,ACC-000296,2025-02-09,Onboarding,Medium,3.67,33.46,3.4,Email
TKT-000933,ACC 000296,2025-04-22,Performance,Medium,3.04,22.24,5,Email
TKT-000934,acc-000297,2025-08-11,Beta feature,Low,13.02,35.05,2.5,Email
TKT-000935,ACC-000297,2025-08-08,Beta feature,Medium,20.43,59.62,3.8,Email
TKT-000936, ACC-000298 ,2026-08-04,Integration,Low,6.62,31.68,4.6,Chat
TKT-000937,ACC-000298,2026-04-21,Beta feature,Medium,8.15,34.35,4.9,Chat
TKT-000938,ACC-000299,2026-03-12,Onboarding,Medium,1.68,27.32,2.2,Chat
TKT-000939,ACC 000299,2026-08-06,Billing,High,13.74,34.63,3.4,Help Center
TKT-000940,ACC-000299,2025-12-02,Performance,Low,0.2,19.82,4.8,Chat
TKT-000941,ACC-000299,2026-06-12,Bug,Medium,5.84,39.76,4.2,Email
TKT-000942,ACC 000299,2026-09-29,Performance,Medium,7.85,52.8,4.8,Chat
TKT-000943,ACC 000299,2026-03-23,Bug,High,19.45,55.59,3.5,Chat
TKT-000944,acc-000300,2026-03-15,Integration,Medium,29.38,107.06,3.4,Phone
TKT-000945, ACC-000300 ,2025-09-14,Billing,High,25.93,45.81,3.6,Help Center
TKT-000946,ACC-000300,2026-04-14,Beta feature,High,35.71,85.85,2.0,Help Center
TKT-000947,acc-000300,2025-05-09,Billing,High,20.87,64.12,2.9,Phone
TKT-000948,ACC-000301,2025-11-07,Beta feature,Low,7.68,24.63,4.0,Chat
TKT-000949,ACC-000301,2026-10-22,Billing,Urgent,17.2,50.16,3.5,Help Center
TKT-000950,acc-000301,2026-09-08,Billing,High,19.67,66.9,3.8,Email
TKT-000951,ACC-000301,2026-05-24,Performance,Medium,8.39,32.82,4.2,Email
TKT-000952, ACC-000301 ,2026-01-12,Performance,Medium,9.91,29.82,2.7,Email
TKT-000953,ACC-000302,2026-03-07,Onboarding,Medium,6.27,30.51,5,Chat
TKT-000954,acc-000302,2026-01-08,Integration,Urgent,16.56,44.75,3.8,Phone
TKT-000955,ACC-000302,2026-04-08,Integration,High,9.96,60.56,4.0,Email
TKT-000956,acc-000302,2026-01-02,Beta feature,High,20.89,60.79,5,Email
TKT-000957,acc-000303,2026-11-05,Integration,Urgent,21.39,77.7,2.7,Chat
TKT-000958,ACC-000303,2026-07-15,Beta feature,Urgent,26.12,72.97,1.7,Email
TKT-000959,acc-000304,2026-07-10,Integration,High,18.92,42.89,2.6,Email
TKT-000960,ACC-000304,2026-01-12,Performance,Medium,0.2,2.95,5,Email
TKT-000961,ACC-000304,2026-09-05,Billing,High,17.89,57.01,3.6,Email
TKT-000962, ACC-000304 ,2026-11-19,Bug,Low,1.55,19.39,3.8,Phone
TKT-000963,ACC-000304,2026-02-10,Integration,Urgent,19.64,34.11,3.2,Email
